Date	DATE_KEY	Month	Year	Weekday	Weekday No	Day of Month	Month of Year	Quarter	Week of Month	Week of Year	Month No
06/11/2017 12:00:00 AM	20171106	Nov	2017	Monday	1	6	Wednesday, November 1, 2017	4	1	45	11
07/11/2017 12:00:00 AM	20171107	Nov	2017	Tuesday	2	7	Wednesday, November 1, 2017	4	1	45	11
08/11/2017 12:00:00 AM	20171108	Nov	2017	Wednesday	3	8	Wednesday, November 1, 2017	4	2	45	11
09/11/2017 12:00:00 AM	20171109	Nov	2017	Thursday	4	9	Wednesday, November 1, 2017	4	2	45	11
10/11/2017 12:00:00 AM	20171110	Nov	2017	Friday	5	10	Wednesday, November 1, 2017	4	2	45	11
11/11/2017 12:00:00 AM	20171111	Nov	2017	Saturday	6	11	Wednesday, November 1, 2017	4	2	45	11
12/11/2017 12:00:00 AM	20171112	Nov	2017	Sunday	7	12	Wednesday, November 1, 2017	4	2	45	11
13/11/2017 12:00:00 AM	20171113	Nov	2017	Monday	1	13	Wednesday, November 1, 2017	4	2	46	11
14/11/2017 12:00:00 AM	20171114	Nov	2017	Tuesday	2	14	Wednesday, November 1, 2017	4	2	46	11
15/11/2017 12:00:00 AM	20171115	Nov	2017	Wednesday	3	15	Wednesday, November 1, 2017	4	3	46	11
16/11/2017 12:00:00 AM	20171116	Nov	2017	Thursday	4	16	Wednesday, November 1, 2017	4	3	46	11
17/11/2017 12:00:00 AM	20171117	Nov	2017	Friday	5	17	Wednesday, November 1, 2017	4	3	46	11
18/11/2017 12:00:00 AM	20171118	Nov	2017	Saturday	6	18	Wednesday, November 1, 2017	4	3	46	11
19/11/2017 12:00:00 AM	20171119	Nov	2017	Sunday	7	19	Wednesday, November 1, 2017	4	3	46	11
20/11/2017 12:00:00 AM	20171120	Nov	2017	Monday	1	20	Wednesday, November 1, 2017	4	3	47	11
21/11/2017 12:00:00 AM	20171121	Nov	2017	Tuesday	2	21	Wednesday, November 1, 2017	4	3	47	11
22/11/2017 12:00:00 AM	20171122	Nov	2017	Wednesday	3	22	Wednesday, November 1, 2017	4	4	47	11
23/11/2017 12:00:00 AM	20171123	Nov	2017	Thursday	4	23	Wednesday, November 1, 2017	4	4	47	11
24/11/2017 12:00:00 AM	20171124	Nov	2017	Friday	5	24	Wednesday, November 1, 2017	4	4	47	11
25/11/2017 12:00:00 AM	20171125	Nov	2017	Saturday	6	25	Wednesday, November 1, 2017	4	4	47	11
26/11/2017 12:00:00 AM	20171126	Nov	2017	Sunday	7	26	Wednesday, November 1, 2017	4	4	47	11
27/11/2017 12:00:00 AM	20171127	Nov	2017	Monday	1	27	Wednesday, November 1, 2017	4	4	48	11
28/11/2017 12:00:00 AM	20171128	Nov	2017	Tuesday	2	28	Wednesday, November 1, 2017	4	4	48	11
29/11/2017 12:00:00 AM	20171129	Nov	2017	Wednesday	3	29	Wednesday, November 1, 2017	4	5	48	11
30/11/2017 12:00:00 AM	20171130	Nov	2017	Thursday	4	30	Wednesday, November 1, 2017	4	5	48	11
01/12/2017 12:00:00 AM	20171201	Dec	2017	Friday	5	1	Friday, December 1, 2017	4	1	48	12
02/12/2017 12:00:00 AM	20171202	Dec	2017	Saturday	6	2	Friday, December 1, 2017	4	1	48	12
03/12/2017 12:00:00 AM	20171203	Dec	2017	Sunday	7	3	Friday, December 1, 2017	4	1	48	12
04/12/2017 12:00:00 AM	20171204	Dec	2017	Monday	1	4	Friday, December 1, 2017	4	1	49	12
05/12/2017 12:00:00 AM	20171205	Dec	2017	Tuesday	2	5	Friday, December 1, 2017	4	1	49	12
06/12/2017 12:00:00 AM	20171206	Dec	2017	Wednesday	3	6	Friday, December 1, 2017	4	1	49	12
07/12/2017 12:00:00 AM	20171207	Dec	2017	Thursday	4	7	Friday, December 1, 2017	4	1	49	12
08/12/2017 12:00:00 AM	20171208	Dec	2017	Friday	5	8	Friday, December 1, 2017	4	2	49	12
09/12/2017 12:00:00 AM	20171209	Dec	2017	Saturday	6	9	Friday, December 1, 2017	4	2	49	12
10/12/2017 12:00:00 AM	20171210	Dec	2017	Sunday	7	10	Friday, December 1, 2017	4	2	49	12
11/12/2017 12:00:00 AM	20171211	Dec	2017	Monday	1	11	Friday, December 1, 2017	4	2	50	12
12/12/2017 12:00:00 AM	20171212	Dec	2017	Tuesday	2	12	Friday, December 1, 2017	4	2	50	12
13/12/2017 12:00:00 AM	20171213	Dec	2017	Wednesday	3	13	Friday, December 1, 2017	4	2	50	12
14/12/2017 12:00:00 AM	20171214	Dec	2017	Thursday	4	14	Friday, December 1, 2017	4	2	50	12
15/12/2017 12:00:00 AM	20171215	Dec	2017	Friday	5	15	Friday, December 1, 2017	4	3	50	12
16/12/2017 12:00:00 AM	20171216	Dec	2017	Saturday	6	16	Friday, December 1, 2017	4	3	50	12
17/12/2017 12:00:00 AM	20171217	Dec	2017	Sunday	7	17	Friday, December 1, 2017	4	3	50	12
18/12/2017 12:00:00 AM	20171218	Dec	2017	Monday	1	18	Friday, December 1, 2017	4	3	51	12
19/12/2017 12:00:00 AM	20171219	Dec	2017	Tuesday	2	19	Friday, December 1, 2017	4	3	51	12
20/12/2017 12:00:00 AM	20171220	Dec	2017	Wednesday	3	20	Friday, December 1, 2017	4	3	51	12
21/12/2017 12:00:00 AM	20171221	Dec	2017	Thursday	4	21	Friday, December 1, 2017	4	3	51	12
22/12/2017 12:00:00 AM	20171222	Dec	2017	Friday	5	22	Friday, December 1, 2017	4	4	51	12
23/12/2017 12:00:00 AM	20171223	Dec	2017	Saturday	6	23	Friday, December 1, 2017	4	4	51	12
24/12/2017 12:00:00 AM	20171224	Dec	2017	Sunday	7	24	Friday, December 1, 2017	4	4	51	12
25/12/2017 12:00:00 AM	20171225	Dec	2017	Monday	1	25	Friday, December 1, 2017	4	4	52	12
26/12/2017 12:00:00 AM	20171226	Dec	2017	Tuesday	2	26	Friday, December 1, 2017	4	4	52	12
27/12/2017 12:00:00 AM	20171227	Dec	2017	Wednesday	3	27	Friday, December 1, 2017	4	4	52	12
28/12/2017 12:00:00 AM	20171228	Dec	2017	Thursday	4	28	Friday, December 1, 2017	4	4	52	12
29/12/2017 12:00:00 AM	20171229	Dec	2017	Friday	5	29	Friday, December 1, 2017	4	5	52	12
30/12/2017 12:00:00 AM	20171230	Dec	2017	Saturday	6	30	Friday, December 1, 2017	4	5	52	12
31/12/2017 12:00:00 AM	20171231	Dec	2017	Sunday	7	31	Friday, December 1, 2017	4	5	52	12
01/01/2018 12:00:00 AM	20180101	Jan	2018	Monday	1	1	Monday, January 1, 2018	1	1	1	1
02/01/2018 12:00:00 AM	20180102	Jan	2018	Tuesday	2	2	Monday, January 1, 2018	1	1	1	1
